ant-table-cell,ant-table-cell 2,ant-table-cell 3,ant-table-cell 4,ant-table-cell 5
2023-12-09 03:03:07,Report,Current,175mA,device itself
2023-12-09 03:03:07,Report,Power,29.80W,device itself
2023-12-09 03:03:07,Report,Voltage,237.90V,device itself
2023-12-09 03:02:31,Report,Current,138mA,device itself
2023-12-09 03:02:31,Report,Power,17.60W,device itself
2023-12-09 03:02:31,Report,Voltage,238.80V,device itself
2023-12-09 03:01:56,Report,Current,185mA,device itself
2023-12-09 03:01:56,Report,Power,25.60W,device itself
2023-12-09 03:01:51,Report,Current,191mA,device itself
2023-12-09 03:01:51,Report,Power,20.90W,device itself
2023-12-09 03:01:51,Report,Voltage,236.90V,device itself
2023-12-09 03:01:18,Report,Current,270mA,device itself
2023-12-09 03:01:18,Report,Power,32.50W,device itself
2023-12-09 03:01:11,Report,Current,155mA,device itself
2023-12-09 03:01:11,Report,Power,17.80W,device itself
2023-12-09 03:01:11,Report,Voltage,237.40V,device itself
2023-12-09 03:00:36,Report,Current,174mA,device itself
2023-12-09 03:00:36,Report,Power,19.30W,device itself
2023-12-09 02:59:36,Report,Add Electricity,0.01,device itself
2023-12-09 02:59:31,Report,Current,150mA,device itself
2023-12-09 02:59:31,Report,Power,24.30W,device itself
2023-12-09 02:55:25,Report,Current,140mA,device itself
2023-12-09 02:55:25,Report,Power,17.20W,device itself
2023-12-09 02:55:25,Report,Voltage,238.80V,device itself
2023-12-09 02:54:22,Report,Current,177mA,device itself
2023-12-09 02:54:22,Report,Power,23.60W,device itself
2023-12-09 02:53:15,Report,Current,148mA,device itself
2023-12-09 02:53:15,Report,Power,22.00W,device itself
2023-12-09 02:53:15,Report,Voltage,239.30V,device itself
2023-12-09 02:47:08,Report,Current,155mA,device itself
2023-12-09 02:47:08,Report,Power,20.40W,device itself
2023-12-09 02:47:08,Report,Voltage,237.40V,device itself
2023-12-09 02:46:33,Report,Current,164mA,device itself
2023-12-09 02:46:33,Report,Power,24.80W,device itself
2023-12-09 02:46:28,Report,Current,165mA,device itself
2023-12-09 02:46:28,Report,Power,18.80W,device itself
2023-12-09 02:30:20,Report,Current,167mA,device itself
2023-12-09 02:30:20,Report,Power,21.00W,device itself
2023-12-09 02:29:45,Report,Current,172mA,device itself
2023-12-09 02:29:45,Report,Power,24.00W,device itself
2023-12-09 02:29:40,Report,Current,186mA,device itself
2023-12-09 02:29:40,Report,Power,18.80W,device itself
2023-12-09 02:29:40,Report,Voltage,236.90V,device itself
2023-12-09 02:29:35,Report,Current,239mA,device itself
2023-12-09 02:29:35,Report,Power,29.70W,device itself
2023-12-09 02:29:35,Report,Voltage,235.10V,device itself
2023-12-09 02:29:30,Report,Add Electricity,0.01,device itself
2023-12-09 02:21:59,Report,Current,184mA,device itself
2023-12-09 02:21:59,Report,Power,25.60W,device itself
2023-12-09 02:21:59,Report,Voltage,236.00V,device itself
2023-12-09 02:15:56,Device semaphore,Device semaphore,signal intensity:-66||Remaining memory:38720||UTC:1702066556||DST:1702066556,device itself
2023-12-09 02:02:20,Report,Current,195mA,device itself
2023-12-09 02:02:20,Report,Power,22.70W,device itself
2023-12-09 02:02:15,Report,Current,234mA,device itself
2023-12-09 02:02:15,Report,Power,30.10W,device itself
2023-12-09 02:01:39,Report,Current,212mA,device itself
2023-12-09 02:01:39,Report,Power,29.90W,device itself
2023-12-09 01:59:24,Report,Add Electricity,0.01,device itself
2023-12-09 01:43:31,Report,Current,210mA,device itself
2023-12-09 01:43:31,Report,Power,25.20W,device itself
2023-12-09 01:43:31,Report,Voltage,236.90V,device itself
2023-12-09 01:31:54,Report,Current,180mA,device itself
2023-12-09 01:31:54,Report,Power,19.40W,device itself
2023-12-09 01:31:54,Report,Voltage,236.00V,device itself
2023-12-09 01:29:18,Report,Add Electricity,0.01,device itself
2023-12-09 01:15:56,Device semaphore,Device semaphore,signal intensity:-66||Remaining memory:38720||UTC:1702062956||DST:1702062956,device itself
2023-12-09 00:59:12,Report,Add Electricity,0.01,device itself
2023-12-09 00:55:41,Report,Current,219mA,device itself
2023-12-09 00:55:41,Report,Power,25.40W,device itself
2023-12-09 00:55:41,Report,Voltage,235.10V,device itself
2023-12-09 00:52:36,Report,Current,190mA,device itself
2023-12-09 00:52:36,Report,Power,24.50W,device itself
2023-12-09 00:52:36,Report,Voltage,234.60V,device itself
2023-12-09 00:48:30,Report,Current,198mA,device itself
2023-12-09 00:48:30,Report,Power,23.10W,device itself
2023-12-09 00:48:30,Report,Voltage,234.20V,device itself
2023-12-09 00:45:54,Report,Current,169mA,device itself
2023-12-09 00:45:54,Report,Power,25.30W,device itself
2023-12-09 00:45:54,Report,Voltage,235.50V,device itself
2023-12-09 00:44:19,Report,Current,148mA,device itself
2023-12-09 00:44:19,Report,Power,20.00W,device itself
2023-12-09 00:44:19,Report,Voltage,234.60V,device itself
2023-12-09 00:44:14,Report,Current,152mA,device itself
2023-12-09 00:44:14,Report,Power,12.60W,device itself
2023-12-09 00:37:38,Report,Current,166mA,device itself
2023-12-09 00:37:38,Report,Power,24.10W,device itself
2023-12-09 00:37:38,Report,Voltage,235.10V,device itself
2023-12-09 00:36:03,Report,Current,157mA,device itself
2023-12-09 00:36:03,Report,Power,19.50W,device itself
2023-12-09 00:35:58,Report,Current,215mA,device itself
2023-12-09 00:35:58,Report,Power,25.30W,device itself
2023-12-09 00:31:52,Report,Current,188mA,device itself
2023-12-09 00:31:52,Report,Power,22.50W,device itself
2023-12-09 00:31:47,Report,Current,196mA,device itself
2023-12-09 00:31:47,Report,Power,28.50W,device itself
2023-12-09 00:31:47,Report,Voltage,236.50V,device itself
2023-12-09 00:31:42,Report,Current,162mA,device itself
2023-12-09 00:31:42,Report,Power,18.60W,device itself
2023-12-09 00:31:42,Report,Voltage,235.50V,device itself
2023-12-09 00:29:06,Report,Current,183mA,device itself
2023-12-09 00:29:06,Report,Power,21.40W,device itself
2023-12-09 00:29:06,Report,Add Electricity,0.01,device itself
2023-12-09 00:29:01,Report,Current,255mA,device itself
2023-12-09 00:29:01,Report,Power,33.90W,device itself
2023-12-09 00:29:01,Report,Voltage,234.60V,device itself
2023-12-09 00:28:56,Report,Current,196mA,device itself
2023-12-09 00:28:56,Report,Power,21.90W,device itself
2023-12-09 00:28:56,Report,Voltage,235.10V,device itself
2023-12-09 00:28:21,Report,Current,254mA,device itself
2023-12-09 00:28:21,Report,Power,30.20W,device itself
2023-12-09 00:28:21,Report,Voltage,234.20V,device itself
2023-12-09 00:26:46,Report,Current,193mA,device itself
2023-12-09 00:26:46,Report,Power,24.30W,device itself
2023-12-09 00:26:46,Report,Voltage,235.50V,device itself
2023-12-09 00:18:09,Report,Current,219mA,device itself
2023-12-09 00:18:09,Report,Power,29.70W,device itself
2023-12-09 00:18:04,Report,Current,170mA,device itself
2023-12-09 00:18:04,Report,Power,19.10W,device itself
2023-12-09 00:18:04,Report,Voltage,235.10V,device itself
2023-12-09 00:16:59,Report,Current,187mA,device itself
2023-12-09 00:16:59,Report,Power,28.30W,device itself
2023-12-09 00:16:59,Report,Voltage,234.20V,device itself
2023-12-09 00:15:56,Device semaphore,Device semaphore,signal intensity:-67||Remaining memory:38720||UTC:1702059356||DST:1702059356,device itself
2023-12-09 00:13:53,Report,Current,180mA,device itself
2023-12-09 00:13:53,Report,Power,26.60W,device itself
2023-12-09 00:13:53,Report,Voltage,236.00V,device itself
2023-12-09 00:12:18,Report,Current,172mA,device itself
2023-12-09 00:12:18,Report,Power,29.50W,device itself
2023-12-09 00:12:18,Report,Voltage,235.50V,device itself
2023-12-09 00:05:41,Report,Current,162mA,device itself
2023-12-09 00:05:41,Report,Power,23.60W,device itself
2023-12-09 00:05:41,Report,Voltage,234.60V,device itself
2023-12-09 00:05:36,Report,Current,300mA,device itself
2023-12-09 00:05:36,Report,Power,35.90W,device itself
2023-12-09 00:05:31,Report,Current,232mA,device itself
2023-12-09 00:05:31,Report,Power,23.90W,device itself
2023-12-09 00:05:31,Report,Voltage,234.20V,device itself
2023-12-09 00:05:26,Report,Current,180mA,device itself
2023-12-09 00:05:26,Report,Power,19.30W,device itself
2023-12-09 00:05:26,Report,Voltage,235.10V,device itself
2023-12-09 00:04:51,Report,Current,206mA,device itself
2023-12-09 00:04:51,Report,Power,25.30W,device itself
2023-12-09 00:04:51,Report,Voltage,235.50V,device itself
2023-12-09 00:04:16,Report,Current,199mA,device itself
2023-12-09 00:04:16,Report,Power,21.80W,device itself
2023-12-09 00:04:16,Report,Voltage,234.60V,device itself
2023-12-09 00:01:41,Report,Current,146mA,device itself
2023-12-09 00:01:41,Report,Power,17.90W,device itself
2023-12-09 00:01:41,Report,Voltage,233.70V,device itself
2023-12-09 00:01:36,Report,Current,206mA,device itself
2023-12-09 00:01:36,Report,Power,24.70W,device itself
2023-12-09 00:01:36,Report,Voltage,234.20V,device itself
2023-12-09 00:01:01,Report,Current,204mA,device itself
2023-12-09 00:01:01,Report,Power,22.50W,device itself
2023-12-09 00:01:01,Report,Voltage,232.30V,device itself
2023-12-09 00:00:25,Report,Current,264mA,device itself
2023-12-09 00:00:25,Report,Power,34.40W,device itself
2023-12-09 00:00:25,Report,Voltage,233.70V,device itself
2023-12-08 23:59:20,Report,Current,157mA,device itself
2023-12-08 23:59:20,Report,Power,24.80W,device itself
2023-12-08 23:59:20,Report,Voltage,233.20V,device itself
2023-12-08 23:59:00,Report,Add Electricity,0.01,device itself
2023-12-08 23:46:05,Report,Add Electricity,0.01,device itself
2023-12-08 23:38:11,Report,Current,209mA,device itself
2023-12-08 23:38:11,Report,Power,26.20W,device itself
2023-12-08 23:38:11,Report,Voltage,235.50V,device itself
2023-12-08 23:38:06,Report,Current,240mA,device itself
2023-12-08 23:38:06,Report,Power,36.30W,device itself
2023-12-08 23:38:01,Report,Current,371mA,device itself
2023-12-08 23:38:01,Report,Power,49.30W,device itself
2023-12-08 23:38:01,Report,Voltage,234.20V,device itself
2023-12-08 23:37:56,Report,Current,334mA,device itself
2023-12-08 23:37:56,Report,Power,37.70W,device itself
2023-12-08 23:37:56,Report,Voltage,232.80V,device itself
2023-12-08 23:27:49,Report,Current,214mA,device itself
2023-12-08 23:27:49,Report,Power,27.10W,device itself
2023-12-08 23:27:49,Report,Voltage,233.70V,device itself
2023-12-08 23:21:43,Report,Current,195mA,device itself
2023-12-08 23:21:43,Report,Power,28.70W,device itself
2023-12-08 23:21:43,Report,Voltage,229.70V,device itself
2023-12-08 23:20:07,Report,Current,150mA,device itself
2023-12-08 23:20:07,Report,Power,21.50W,device itself
2023-12-08 23:20:07,Report,Voltage,231.90V,device itself
2023-12-08 23:15:59,Report,Add Electricity,0.01,device itself
2023-12-08 23:15:56,Device semaphore,Device semaphore,signal intensity:-66||Remaining memory:38720||UTC:1702055756||DST:1702055756,device itself
2023-12-08 23:14:01,Report,Current,188mA,device itself
2023-12-08 23:14:01,Report,Power,24.80W,device itself
2023-12-08 23:14:01,Report,Voltage,234.20V,device itself
2023-12-08 23:07:55,Report,Current,281mA,device itself
2023-12-08 23:07:55,Report,Power,25.40W,device itself
2023-12-08 23:07:55,Report,Voltage,232.30V,device itself
2023-12-08 23:07:20,Report,Current,158mA,device itself
2023-12-08 23:07:20,Report,Power,17.10W,device itself
2023-12-08 23:07:20,Report,Voltage,234.20V,device itself
2023-12-08 23:05:44,Report,Current,177mA,device itself
2023-12-08 23:05:44,Report,Power,20.00W,device itself
2023-12-08 23:05:44,Report,Voltage,233.20V,device itself
2023-12-08 23:05:09,Report,Current,253mA,device itself
2023-12-08 23:05:09,Report,Power,30.80W,device itself
2023-12-08 23:05:09,Report,Voltage,234.20V,device itself
2023-12-08 23:05:04,Report,Current,155mA,device itself
2023-12-08 23:05:04,Report,Power,19.40W,device itself
2023-12-08 23:04:59,Report,Current,223mA,device itself
2023-12-08 23:04:59,Report,Power,27.90W,device itself
2023-12-08 23:00:23,Report,Current,178mA,device itself
2023-12-08 23:00:23,Report,Power,21.20W,device itself
2023-12-08 23:00:23,Report,Voltage,232.30V,device itself
2023-12-08 22:58:18,Report,Current,162mA,device itself
2023-12-08 22:58:18,Report,Power,19.20W,device itself
2023-12-08 22:58:18,Report,Voltage,234.20V,device itself
2023-12-08 22:50:41,Report,Current,190mA,device itself
2023-12-08 22:50:41,Report,Power,23.20W,device itself
2023-12-08 22:50:41,Report,Voltage,231.00V,device itself
2023-12-08 22:45:53,Report,Add Electricity,0.01,device itself
2023-12-08 22:44:05,Report,Current,169mA,device itself
2023-12-08 22:44:05,Report,Power,18.10W,device itself
2023-12-08 22:44:05,Report,Voltage,232.30V,device itself
2023-12-08 22:42:30,Report,Current,171mA,device itself
2023-12-08 22:42:30,Report,Power,21.70W,device itself
2023-12-08 22:42:30,Report,Voltage,233.70V,device itself
2023-12-08 22:28:52,Report,Current,158mA,device itself
2023-12-08 22:28:52,Report,Power,18.20W,device itself
2023-12-08 22:28:47,Report,Current,173mA,device itself
2023-12-08 22:28:47,Report,Power,23.40W,device itself
2023-12-08 22:28:47,Report,Voltage,231.40V,device itself
2023-12-08 22:28:12,Report,Current,166mA,device itself
2023-12-08 22:28:12,Report,Power,17.50W,device itself
2023-12-08 22:27:37,Report,Current,181mA,device itself
2023-12-08 22:27:37,Report,Power,23.10W,device itself
2023-12-08 22:27:37,Report,Voltage,231.00V,device itself
2023-12-08 22:26:32,Report,Current,194mA,device itself
2023-12-08 22:26:32,Report,Power,23.40W,device itself
2023-12-08 22:26:32,Report,Voltage,231.40V,device itself
2023-12-08 22:20:26,Report,Current,213mA,device itself
2023-12-08 22:20:26,Report,Power,22.40W,device itself
2023-12-08 22:20:26,Report,Voltage,230.50V,device itself
2023-12-08 22:20:21,Report,Current,159mA,device itself
2023-12-08 22:20:21,Report,Power,16.90W,device itself
2023-12-08 22:20:21,Report,Voltage,231.00V,device itself
2023-12-08 22:19:45,Report,Current,186mA,device itself
2023-12-08 22:19:45,Report,Power,27.10W,device itself
2023-12-08 22:19:40,Report,Current,174mA,device itself
2023-12-08 22:19:40,Report,Power,20.20W,device itself
2023-12-08 22:19:40,Report,Voltage,231.90V,device itself
2023-12-08 22:19:35,Report,Current,245mA,device itself
2023-12-08 22:19:35,Report,Power,32.20W,device itself
2023-12-08 22:19:35,Report,Voltage,231.00V,device itself
2023-12-08 22:15:56,Device semaphore,Device semaphore,signal intensity:-68||Remaining memory:38720||UTC:1702052156||DST:1702052156,device itself
2023-12-08 22:15:47,Report,Add Electricity,0.01,device itself
2023-12-08 22:12:59,Report,Current,194mA,device itself
2023-12-08 22:12:59,Report,Power,23.50W,device itself
2023-12-08 22:12:59,Report,Voltage,232.30V,device itself
2023-12-08 22:11:54,Report,Current,179mA,device itself
2023-12-08 22:11:54,Report,Power,22.20W,device itself
2023-12-08 22:11:54,Report,Voltage,232.80V,device itself
2023-12-08 22:00:17,Report,Current,184mA,device itself
2023-12-08 22:00:17,Report,Power,24.50W,device itself
2023-12-08 22:00:17,Report,Voltage,230.50V,device itself
2023-12-08 21:59:42,Report,Current,177mA,device itself
2023-12-08 21:59:42,Report,Power,21.00W,device itself
2023-12-08 21:59:42,Report,Voltage,231.40V,device itself
2023-12-08 21:55:06,Report,Current,247mA,device itself
2023-12-08 21:55:06,Report,Power,22.70W,device itself
2023-12-08 21:55:06,Report,Voltage,230.10V,device itself
2023-12-08 21:55:01,Report,Current,184mA,device itself
2023-12-08 21:55:01,Report,Power,16.70W,device itself
2023-12-08 21:55:01,Report,Voltage,227.50V,device itself
2023-12-08 21:54:25,Report,Current,188mA,device itself
2023-12-08 21:54:25,Report,Power,24.00W,device itself
2023-12-08 21:54:25,Report,Voltage,230.10V,device itself
2023-12-08 21:45:41,Report,Add Electricity,0.01,device itself
2023-12-08 21:45:19,Report,Current,210mA,device itself
2023-12-08 21:45:19,Report,Power,27.60W,device itself
2023-12-08 21:45:19,Report,Voltage,231.00V,device itself
2023-12-08 21:44:13,Report,Current,263mA,device itself
2023-12-08 21:44:13,Report,Power,32.20W,device itself
2023-12-08 21:44:13,Report,Voltage,230.50V,device itself
2023-12-08 21:40:38,Report,Current,158mA,device itself
2023-12-08 21:40:38,Report,Power,20.50W,device itself
2023-12-08 21:40:33,Report,Current,277mA,device itself
2023-12-08 21:40:33,Report,Power,34.80W,device itself
2023-12-08 21:40:33,Report,Voltage,228.80V,device itself
2023-12-08 21:38:57,Report,Current,191mA,device itself
2023-12-08 21:38:57,Report,Power,26.60W,device itself
2023-12-08 21:38:52,Report,Current,190mA,device itself
2023-12-08 21:38:52,Report,Power,21.80W,device itself
2023-12-08 21:38:47,Report,Current,275mA,device itself
2023-12-08 21:38:47,Report,Power,32.50W,device itself
2023-12-08 21:38:47,Report,Voltage,230.50V,device itself
2023-12-08 21:36:12,Report,Current,156mA,device itself
2023-12-08 21:36:12,Report,Power,16.90W,device itself
2023-12-08 21:36:07,Report,Current,252mA,device itself
2023-12-08 21:36:07,Report,Power,28.90W,device itself
2023-12-08 21:36:07,Report,Voltage,228.30V,device itself
2023-12-08 21:35:32,Report,Current,148mA,device itself
2023-12-08 21:35:32,Report,Power,16.50W,device itself
2023-12-08 21:35:32,Report,Voltage,228.80V,device itself
2023-12-08 21:34:57,Report,Current,254mA,device itself
2023-12-08 21:34:57,Report,Power,35.80W,device itself
2023-12-08 21:34:57,Report,Voltage,231.40V,device itself
2023-12-08 21:34:21,Report,Current,188mA,device itself
2023-12-08 21:34:21,Report,Power,24.80W,device itself
2023-12-08 21:34:21,Report,Voltage,231.00V,device itself
2023-12-08 21:32:16,Report,Current,153mA,device itself
2023-12-08 21:32:16,Report,Power,18.20W,device itself
2023-12-08 21:32:16,Report,Voltage,228.30V,device itself
2023-12-08 21:31:41,Report,Current,193mA,device itself
2023-12-08 21:31:41,Report,Power,23.20W,device itself
2023-12-08 21:31:41,Report,Voltage,231.90V,device itself
2023-12-08 21:30:36,Report,Current,164mA,device itself
2023-12-08 21:30:36,Report,Power,18.10W,device itself
2023-12-08 21:30:36,Report,Voltage,230.10V,device itself
2023-12-08 21:30:01,Report,Current,229mA,device itself
2023-12-08 21:30:01,Report,Power,25.00W,device itself
2023-12-08 21:30:01,Report,Voltage,227.90V,device itself
2023-12-08 21:29:25,Report,Current,168mA,device itself
2023-12-08 21:29:25,Report,Power,18.20W,device itself
2023-12-08 21:29:25,Report,Voltage,228.80V,device itself
2023-12-08 21:28:20,Report,Current,192mA,device itself
2023-12-08 21:28:20,Report,Power,26.90W,device itself
2023-12-08 21:28:20,Report,Voltage,230.10V,device itself
2023-12-08 21:27:45,Report,Current,191mA,device itself
2023-12-08 21:27:45,Report,Power,20.00W,device itself
2023-12-08 21:27:45,Report,Voltage,229.70V,device itself
2023-12-08 21:27:40,Report,Current,231mA,device itself
2023-12-08 21:27:40,Report,Power,27.10W,device itself
2023-12-08 21:27:35,Report,Current,195mA,device itself
2023-12-08 21:27:35,Report,Power,20.80W,device itself
2023-12-08 21:27:35,Report,Voltage,228.80V,device itself
2023-12-08 21:27:30,Report,Current,228mA,device itself
2023-12-08 21:27:30,Report,Power,29.60W,device itself
2023-12-08 21:27:30,Report,Voltage,230.10V,device itself
2023-12-08 21:26:25,Report,Current,206mA,device itself
2023-12-08 21:26:25,Report,Power,23.50W,device itself
2023-12-08 21:26:25,Report,Voltage,228.30V,device itself
2023-12-08 21:25:50,Report,Current,244mA,device itself
2023-12-08 21:25:50,Report,Power,25.60W,device itself
2023-12-08 21:25:50,Report,Voltage,228.80V,device itself
2023-12-08 21:20:14,Report,Current,215mA,device itself
2023-12-08 21:20:14,Report,Power,34.40W,device itself
2023-12-08 21:20:14,Report,Voltage,227.00V,device itself
2023-12-08 21:17:38,Report,Current,184mA,device itself
2023-12-08 21:17:38,Report,Power,17.30W,device itself
2023-12-08 21:17:38,Report,Voltage,226.60V,device itself
2023-12-08 21:17:03,Report,Current,260mA,device itself
2023-12-08 21:17:03,Report,Power,35.50W,device itself
2023-12-08 21:17:03,Report,Voltage,229.70V,device itself
2023-12-08 21:16:58,Report,Current,216mA,device itself
2023-12-08 21:16:58,Report,Power,26.40W,device itself
2023-12-08 21:16:58,Report,Voltage,228.80V,device itself
2023-12-08 21:15:56,Device semaphore,Device semaphore,signal intensity:-69||Remaining memory:38720||UTC:1702048556||DST:1702048556,device itself
2023-12-08 21:15:36,Report,Add Electricity,0.01,device itself
2023-12-08 21:15:23,Report,Current,165mA,device itself
2023-12-08 21:15:23,Report,Power,17.30W,device itself
2023-12-08 21:15:23,Report,Voltage,228.30V,device itself
2023-12-08 21:15:18,Report,Current,155mA,device itself
2023-12-08 21:15:18,Report,Power,29.60W,device itself
2023-12-08 21:15:18,Report,Voltage,230.50V,device itself
2023-12-08 21:14:43,Report,Current,171mA,device itself
2023-12-08 21:14:43,Report,Power,17.90W,device itself
2023-12-08 21:14:38,Report,Current,245mA,device itself
2023-12-08 21:14:38,Report,Power,29.50W,device itself
2023-12-08 21:14:38,Report,Voltage,228.30V,device itself
2023-12-08 21:14:33,Report,Current,214mA,device itself
2023-12-08 21:14:33,Report,Power,23.40W,device itself
2023-12-08 21:14:28,Report,Current,300mA,device itself
2023-12-08 21:14:28,Report,Power,40.60W,device itself
2023-12-08 21:14:28,Report,Voltage,231.00V,device itself
2023-12-08 21:12:52,Report,Current,160mA,device itself
2023-12-08 21:12:52,Report,Power,17.00W,device itself
2023-12-08 21:12:47,Report,Current,158mA,device itself
2023-12-08 21:12:47,Report,Power,13.00W,device itself
2023-12-08 21:12:47,Report,Voltage,229.70V,device itself
2023-12-08 21:12:42,Report,Current,157mA,device itself
2023-12-08 21:12:42,Report,Power,16.70W,device itself
2023-12-08 21:12:37,Report,Current,146mA,device itself
2023-12-08 21:12:37,Report,Power,12.60W,device itself
2023-12-08 21:12:37,Report,Voltage,230.10V,device itself
2023-12-08 21:11:32,Report,Current,157mA,device itself
2023-12-08 21:11:32,Report,Power,18.20W,device itself
2023-12-08 21:11:32,Report,Voltage,228.30V,device itself
2023-12-08 21:11:27,Report,Current,265mA,device itself
2023-12-08 21:11:27,Report,Power,33.10W,device itself
2023-12-08 21:11:22,Report,Current,272mA,device itself
2023-12-08 21:11:22,Report,Power,23.70W,device itself
2023-12-08 21:11:22,Report,Voltage,230.10V,device itself
2023-12-08 21:10:47,Report,Current,158mA,device itself
2023-12-08 21:10:47,Report,Power,17.40W,device itself
2023-12-08 21:09:42,Report,Current,214mA,device itself
2023-12-08 21:09:42,Report,Power,27.20W,device itself
2023-12-08 21:09:42,Report,Voltage,228.30V,device itself
2023-12-08 21:08:06,Report,Current,171mA,device itself
2023-12-08 21:08:06,Report,Power,20.30W,device itself
2023-12-08 21:08:06,Report,Voltage,227.50V,device itself
2023-12-08 21:07:31,Report,Current,223mA,device itself
2023-12-08 21:07:31,Report,Power,24.70W,device itself
2023-12-08 21:03:25,Report,Current,177mA,device itself
2023-12-08 21:03:25,Report,Power,17.40W,device itself
2023-12-08 21:03:25,Report,Voltage,226.60V,device itself
2023-12-08 21:03:20,Report,Current,194mA,device itself
2023-12-08 21:03:20,Report,Power,22.70W,device itself
2023-12-08 21:03:20,Report,Voltage,225.80V,device itself
2023-12-08 21:01:45,Report,Current,202mA,device itself
2023-12-08 21:01:45,Report,Power,24.90W,device itself
2023-12-08 21:01:45,Report,Voltage,225.30V,device itself
2023-12-08 21:01:40,Report,Current,227mA,device itself
2023-12-08 21:01:40,Report,Power,36.10W,device itself
2023-12-08 21:01:40,Report,Voltage,227.00V,device itself
2023-12-08 21:01:05,Report,Current,192mA,device itself
2023-12-08 21:01:05,Report,Power,31.30W,device itself
2023-12-08 21:01:05,Report,Voltage,226.60V,device itself
2023-12-08 21:00:00,Report,Current,290mA,device itself
2023-12-08 21:00:00,Report,Power,27.70W,device itself
2023-12-08 21:00:00,Report,Voltage,225.80V,device itself
2023-12-08 20:58:24,Report,Current,168mA,device itself
2023-12-08 20:58:24,Report,Power,18.90W,device itself
2023-12-08 20:58:24,Report,Voltage,228.80V,device itself
2023-12-08 20:58:19,Report,Current,187mA,device itself
2023-12-08 20:58:19,Report,Power,24.00W,device itself
2023-12-08 20:58:14,Report,Current,170mA,device itself
2023-12-08 20:58:14,Report,Power,19.00W,device itself
2023-12-08 20:58:14,Report,Voltage,227.90V,device itself
2023-12-08 20:57:39,Report,Current,273mA,device itself
2023-12-08 20:57:39,Report,Power,27.40W,device itself
2023-12-08 20:57:39,Report,Voltage,226.60V,device itself
2023-12-08 20:56:34,Report,Current,167mA,device itself
2023-12-08 20:56:34,Report,Power,20.40W,device itself
2023-12-08 20:56:34,Report,Voltage,227.00V,device itself
2023-12-08 20:55:29,Report,Current,159mA,device itself
2023-12-08 20:55:29,Report,Power,16.70W,device itself
2023-12-08 20:55:29,Report,Voltage,228.30V,device itself
2023-12-08 20:53:53,Report,Current,156mA,device itself
2023-12-08 20:53:53,Report,Power,17.00W,device itself
2023-12-08 20:53:48,Report,Current,171mA,device itself
2023-12-08 20:53:48,Report,Power,23.70W,device itself
2023-12-08 20:53:48,Report,Voltage,227.50V,device itself
2023-12-08 20:45:30,Report,Add Electricity,0.01,device itself
2023-12-08 20:15:56,Device semaphore,Device semaphore,signal intensity:-69||Remaining memory:38720||UTC:1702044956||DST:1702044956,device itself
2023-12-08 20:15:24,Report,Add Electricity,0.01,device itself
2023-12-08 20:13:36,Report,Current,170mA,device itself
2023-12-08 20:13:36,Report,Power,19.20W,device itself
2023-12-08 20:13:36,Report,Voltage,234.20V,device itself
2023-12-08 20:13:00,Report,Current,212mA,device itself
2023-12-08 20:13:00,Report,Power,25.80W,device itself
2023-12-08 20:13:00,Report,Voltage,233.20V,device itself
2023-12-08 20:04:24,Report,Current,171mA,device itself
2023-12-08 20:04:24,Report,Power,21.00W,device itself
2023-12-08 20:04:24,Report,Voltage,230.10V,device itself
2023-12-08 20:03:19,Report,Current,186mA,device itself
2023-12-08 20:03:19,Report,Power,24.50W,device itself
2023-12-08 20:03:19,Report,Voltage,230.50V,device itself
2023-12-08 20:02:13,Report,Current,205mA,device itself
2023-12-08 20:02:13,Report,Power,28.90W,device itself
2023-12-08 20:02:13,Report,Voltage,231.00V,device itself
2023-12-08 19:55:37,Report,Current,249mA,device itself
2023-12-08 19:55:37,Report,Power,31.10W,device itself
2023-12-08 19:55:37,Report,Voltage,232.80V,device itself
2023-12-08 19:55:32,Report,Current,199mA,device itself
2023-12-08 19:55:32,Report,Power,24.50W,device itself
2023-12-08 19:55:32,Report,Voltage,231.90V,device itself
2023-12-08 19:54:57,Report,Current,166mA,device itself
2023-12-08 19:54:57,Report,Power,18.40W,device itself
2023-12-08 19:54:57,Report,Voltage,231.00V,device itself
2023-12-08 19:52:52,Report,Current,242mA,device itself
2023-12-08 19:52:52,Report,Power,26.10W,device itself
2023-12-08 19:52:52,Report,Voltage,233.20V,device itself
2023-12-08 19:52:46,Report,Current,311mA,device itself
2023-12-08 19:52:46,Report,Power,41.90W,device itself
2023-12-08 19:52:46,Report,Voltage,232.30V,device itself
2023-12-08 19:47:10,Report,Current,180mA,device itself
2023-12-08 19:47:10,Report,Power,22.50W,device itself
2023-12-08 19:47:10,Report,Voltage,231.40V,device itself
2023-12-08 19:45:35,Report,Current,163mA,device itself
2023-12-08 19:45:35,Report,Power,18.00W,device itself
2023-12-08 19:45:35,Report,Voltage,233.20V,device itself
2023-12-08 19:45:30,Report,Current,195mA,device itself
2023-12-08 19:45:30,Report,Power,23.90W,device itself
2023-12-08 19:45:30,Report,Voltage,231.00V,device itself
2023-12-08 19:45:18,Report,Add Electricity,0.01,device itself
2023-12-08 19:15:56,Device semaphore,Device semaphore,signal intensity:-62||Remaining memory:39064||UTC:1702041356||DST:1702041356,device itself
2023-12-08 19:15:11,Report,Add Electricity,0.01,device itself
2023-12-08 18:46:43,Report,Current,245mA,device itself
